word
need more improvement
work towards accessing
towards accessing the
accessing the information
the information on
information on their
on their own
their own quick
own quick talk
quick talk also
talk also facilitates
also facilitates a
facilitates a natural
a natural flow
natural flow of
flow of conversation
of conversation between
conversation between peers
between peers and
peers and staff
and staff some
staff some students
some students won't
students won't stay
won't stay long
stay long enough
long enough to
enough to hear
to hear what
hear what the
what the student
the student with
student with communication
with communication difficulties
communication difficulties has
difficulties has to
has to say
to say using
say using quick
using quick talk
quick talk students
talk students can
students can access
can access their
access their information
their information faster
information faster allowing
faster allowing the
allowing the students
the students to
students to engage
to engage in
engage in longer
in longer conversations
longer conversations the
conversations the arrows
the arrows on
arrows on the
on the screen
the screen are
screen are a
are a helpful
a helpful visual
helpful visual tool
visual tool for
tool for the
for the students
the students to
students to be
to be able
be able o
able o now
o now where
now where to
where to navigate
to navigate throughout
navigate throughout quick
throughout quick talk
quick talk great
talk great app
a must have
must have for
have for slp's
for slp's i
slp's i love
i love this
love this app
this app as
app as a
as a speech
a speech language
speech language pathologist
language pathologist i've
pathologist i've seen
i've seen many
seen many aac
many aac apps
aac apps and
apps and this
and this is
this is the
is the first
the first that
first that i've
that i've been
i've been able
been able to
able to use
to use within
use within minutes
within minutes it
minutes it took
it took me
took me about
me about 5
about 5 minutes
5 minutes to
minutes to learn
to learn how
learn how to
how to program
to program the
program the device
the device and
device and use
and use it
use it i
it i can
i can use
can use it
use it with
it with several
with several of
several of the
of the students
the students on
students on my
on my caseload
my caseload all
caseload all with
all with varying
with varying degrees
varying degrees of
degrees of communication
of communication challenges
communication challenges for
challenges for yes
for yes no
yes no questions
no questions simple
questions simple choices
simple choices inclusion
choices inclusion during
inclusion during circle
during circle times
circle times classroom
times classroom participation
classroom participation and
participation and more
and more i
more i don't
i don't have
don't have to
have to switch
to switch devices
switch devices or
devices or apps
or apps i
apps i can
i can just
can just use
just use quick
use quick talk
quick talk the
talk the teachers
the teachers are
teachers are able
are able to
able to program
to program this
program this app
this app easily
app easily and
easily and it
and it doesn't
it doesn't take
doesn't take several
take several training
several training sessions
training sessions to
sessions to implement
to implement use
implement use with
use with their
with their students
their students this
students this app
this app is
app is able
is able to
able to bridge
to bridge the
bridge the gap
the gap between
gap between communicating
between communicating basic
communicating basic wants
basic wants and
wants and needs
and needs and
needs and complex
and complex phrases
complex phrases sentences
phrases sentences it's
sentences it's the
it's the quickest
the quickest way
quickest way for
way for providing
for providing someone
providing someone with
someone with quick
with quick functional
quick functional communication
high hopes here
hopes here i
here i am
i am a
am a 20
a 20 year
20 year old
year old college
old college student
college student who
student who has
who has been
has been friends
been friends with
friends with and
with and has
and has worked
has worked with
worked with children
with children young
children young adults
young adults who
adults who are
who are verbally
are verbally challenged
verbally challenged with
challenged with special
with special needs
special needs for
needs for over
for over 10
over 10 years
10 years using
years using this
using this app
this app the
app the last
the last few
last few days
few days i
days i am
i am impressed
am impressed with
impressed with the
with the extreme
the extreme amount
extreme amount of
amount of customizability
of customizability i
customizability i can
i can really
can really see
really see this
see this becoming
this becoming my
becoming my friends
my friends main
friends main way
main way of
way of communication
of communication in
communication in the
in the palm
the palm of
palm of his
of his hand
his hand i
hand i am
i am very
am very hopeful
very hopeful for
hopeful for this
for this app
this app to
app to be
to be a
be a huge
a huge relief
huge relief in
relief in communication
in communication already
communication already the
already the last
the last 3
last 3 days
3 days we
days we have
we have been
have been able
been able to
able to communicate
to communicate much
communicate much quicker
much quicker and
quicker and much
and much easier
much easier smiling
easier smiling every
smiling every time
every time we
time we customize
we customize a
customize a new
a new box
